net,length_um
_0154_,8.66µm
lf_inst.integrator\[31\],8.6µm
_1025_,8.58µm
div_val[0],8.57µm
_0371_,8.56µm
_0487_,8.56µm
_0575_,8.54µm
_0967_,8.54µm
_0556_,8.52µm
net283,8.52µm
_0661_,8.5µm
debug_dco_word[11],8.5µm
debug_dco_word[2],8.5µm
debug_dco_word[4],8.5µm
debug_dco_word[5],8.5µm
debug_dco_word[6],8.5µm
debug_dco_word[9],8.5µm
_1004_,8.46µm
_0242_,8.44µm
_0415_,8.44µm
_0870_,8.44µm
_0498_,8.42µm
_0940_,8.42µm
_0906_,8.415µm
dco_inst.accumulator\[30\],8.36µm
_0345_,8.34µm
_0788_,8.32µm
dco_inst.accumulator\[7\],8.32µm
_0580_,8.28µm
net324,8.28µm
_0201_,8.24µm
_0421_,8.24µm
_0559_,8.24µm
_0939_,8.24µm
dco_inst.accumulator\[29\],8.2µm
net13,8.2µm
_0269_,8.12µm
_0276_,8.12µm
_0534_,8.1µm
_0650_,8.1µm
net236,8.08µm
_0745_,8.04µm
_0930_,8.04µm
_0787_,8.02µm
_0319_,7.98µm
_0929_,7.98µm
_0667_,7.9µm
_0728_,7.9µm
net344,7.9µm
net371,7.9µm
div_val[7],7.89µm
_0751_,7.86µm
_0165_,7.78µm
_0688_,7.78µm
_0746_,7.78µm
dco_inst.accumulator\[6\],7.78µm
dco_inst.accumulator\[25\],7.76µm
net322,7.76µm
net316,7.74µm
_0399_,7.68µm
_0671_,7.68µm
_0710_,7.68µm
_1016_,7.68µm
net319,7.68µm
_0737_,7.66µm
_0533_,7.64µm
_0554_,7.64µm
dco_inst.accumulator\[10\],7.64µm
net35,7.64µm
_0471_,7.6µm
_0983_,7.58µm
_0839_,7.56µm
_0735_,7.54µm
_0229_,7.52µm
_0037_,7.515µm
dco_inst.accumulator\[20\],7.48µm
_0613_,7.44µm
_0934_,7.44µm
_0515_,7.42µm
_1003_,7.42µm
_1005_,7.42µm
_0117_,7.365µm
_0555_,7.34µm
_0497_,7.32µm
net125,7.32µm
_0632_,7.28µm
_0669_,7.28µm
_0965_,7.28µm
dco_inst.accumulator\[23\],7.28µm
_0083_,7.245µm
_0366_,7.24µm
_0674_,7.24µm
_0869_,7.24µm
_0956_,7.24µm
_0681_,7.22µm
_0840_,7.2µm
_0159_,7.18µm
_0595_,7.18µm
_0054_,7.145µm
_0760_,7.14µm
_0875_,7.14µm
debug_dco_word[16],7.11µm
debug_dco_word[19],7.11µm
_0111_,7.105µm
_0492_,7.1µm
_0703_,7.1µm
_0329_,7.08µm
_0349_,7.08µm
net149,7.06µm
_0010_,7.015µm
_0456_,6.98µm
net366,6.98µm
_0348_,6.94µm
_0757_,6.94µm
_0118_,6.925µm
_0427_,6.88µm
net340,6.88µm
_0236_,6.86µm
_0296_,6.86µm
_0527_,6.86µm
net143,6.84µm
_0073_,6.825µm
div_val[16],6.79µm
_0024_,6.785µm
_0396_,6.76µm
_0776_,6.76µm
dco_inst.accumulator\[28\],6.74µm
_0910_,6.725µm
_0572_,6.72µm
_0077_,6.705µm
_0017_,6.685µm
_0026_,6.685µm
_0053_,6.685µm
_0941_,6.66µm
_0986_,6.66µm
_0021_,6.645µm
_0729_,6.64µm
_0958_,6.64µm
net368,6.64µm
_0469_,6.6µm
_0625_,6.6µm
_0668_,6.6µm
_0915_,6.6µm
_0943_,6.6µm
div_val[9],6.55µm
_0104_,6.54µm
_0827_,6.54µm
_0318_,6.52µm
_0406_,6.52µm
_0683_,6.52µm
_0637_,6.5µm
_0056_,6.485µm
_0250_,6.48µm
_0002_,6.465µm
_0207_,6.46µm
initial_freq[23],6.45µm
_0314_,6.44µm
_0107_,6.425µm
_0367_,6.42µm
_0518_,6.42µm
net347,6.42µm
_0347_,6.4µm
_0701_,6.4µm
_0798_,6.4µm
_1038_,6.4µm
_0908_,6.38µm
_0081_,6.365µm
_0677_,6.36µm
dco_inst.accumulator\[17\],6.36µm
_0137_,6.34µm
_0706_,6.33µm
_0211_,6.32µm
_0335_,6.32µm
_0792_,6.32µm
initial_freq[0],6.31µm
initial_freq[1],6.31µm
rst_n,6.31µm
_0585_,6.3µm
_0853_,6.3µm
_0947_,6.3µm
_0050_,6.265µm
_0243_,6.26µm
_0446_,6.26µm
_0513_,6.26µm
_0614_,6.26µm
_0793_,6.26µm
_0832_,6.26µm
_1023_,6.235µm
debug_dco_word[18],6.23µm
_0013_,6.225µm
_0038_,6.225µm
_0628_,6.2µm
_0823_,6.2µm
_0076_,6.185µm
_0699_,6.18µm
_0860_,6.18µm
net127,6.18µm
net339,6.18µm
_0541_,6.14µm
_0605_,6.14µm
_0046_,6.105µm
debug_dco_word[20],6.09µm
_0854_,6.06µm
net367,6.06µm
net306,6.04µm
_0123_,6.025µm
_1021_,6.02µm
lf_inst.integrator\[17\],5.94µm
_0290_,5.92µm
_0428_,5.89µm
div_val[6],5.87µm
_0174_,5.86µm
_0259_,5.86µm
_0660_,5.86µm
_0989_,5.86µm
_0176_,5.84µm
_0641_,5.84µm
_0747_,5.84µm
_1043_,5.84µm
dco_inst.accumulator\[21\],5.84µm
_0690_,5.82µm
_0779_,5.82µm
_0607_,5.8µm
_0890_,5.8µm
_0960_,5.8µm
net363,5.8µm
debug_dco_word[17],5.75µm
_0391_,5.72µm
_0410_,5.72µm
_0457_,5.72µm
_0835_,5.72µm
_0082_,5.705µm
_0602_,5.705µm
_0198_,5.7µm
_0360_,5.7µm
net348,5.68µm
net351,5.68µm
_0012_,5.645µm
_0065_,5.645µm
initial_freq[18],5.63µm
_0061_,5.62µm
_0324_,5.62µm
_0023_,5.58µm
_0048_,5.58µm
net264,5.56µm
net375,5.52µm
div_val[14],5.51µm
div_val[15],5.51µm
div_val[26],5.51µm
_0067_,5.505µm
_0185_,5.48µm
_0240_,5.48µm
_0145_,5.475µm
debug_dco_word[15],5.41µm
_0262_,5.4µm
_0301_,5.38µm
_0687_,5.38µm
_0775_,5.38µm
_0059_,5.365µm
_0027_,5.345µm
_0320_,5.34µm
_0486_,5.34µm
_0596_,5.34µm
pfd_inst.fb_sync\[0\],5.34µm
net374,5.34µm
_0062_,5.305µm
_0120_,5.305µm
initial_freq[15],5.29µm
pfd_inst.ref_sync\[2\],5.28µm
net281,5.28µm
_0357_,5.26µm
_0380_,5.26µm
