Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_454,VDD,Metal1,262.4600,223.8725,4.999942
FILLER_53_434,VDD,Metal1,250.3200,223.4400,4.999947
FILLER_53_430,VDD,Metal1,249.0200,223.8725,4.999935
FILLER_53_422,VDD,Metal1,245.7865,224.0165,4.999924
FILLER_53_390,VDD,Metal1,225.4000,223.4400,4.999923
FILLER_53_377,VDD,Metal1,218.1200,223.4400,4.999923
FILLER_53_375,VDD,Metal1,217.2800,223.4400,4.999923
FILLER_53_362,VDD,Metal1,209.7200,223.4400,4.999923
FILLER_53_360,VDD,Metal1,208.8800,223.4400,4.999923
FILLER_53_352,VDD,Metal1,206.5865,224.0165,4.999923
FILLER_53_348,VDD,Metal1,202.1600,223.4400,4.999926
FILLER_53_344,VDD,Metal1,200.8600,223.8725,4.999926
FILLER_53_336,VDD,Metal1,197.6265,224.0165,4.999927
FILLER_53_320,VDD,Metal1,187.4200,223.8725,4.999928
FILLER_53_298,VDD,Metal1,174.1600,223.4400,4.999926
FILLER_53_294,VDD,Metal1,172.8600,223.8725,4.999926
FILLER_53_279,VDD,Metal1,163.2400,223.4400,4.999923
FILLER_53_277,VDD,Metal1,162.4000,223.4400,4.999923
FILLER_53_269,VDD,Metal1,160.1065,224.0165,4.999923
FILLER_53_264,VDD,Metal1,154.8400,223.4400,4.999923
FILLER_53_251,VDD,Metal1,147.5600,223.4400,4.999922
FILLER_53_249,VDD,Metal1,146.7200,223.4400,4.999922
FILLER_53_241,VDD,Metal1,144.4265,224.0165,4.999922
FILLER_53_212,VDD,Metal1,130.5280,224.1320,4.999913
FILLER_53_209,VDD,Metal1,124.0400,223.4400,4.999914
FILLER_53_189,VDD,Metal1,115.3065,224.0165,4.999914
FILLER_53_182,VDD,Metal1,109.2000,223.4400,4.999988
FILLER_53_174,VDD,Metal1,106.9065,224.0165,4.999988
FILLER_53_142,VDD,Metal1,95.8755,224.2085,4.999990
FILLER_53_139,VDD,Metal1,84.8400,223.4400,4.999990
FILLER_53_137,VDD,Metal1,84.0000,223.4400,4.999990
FILLER_53_133,VDD,Metal1,82.7000,223.8725,4.999990
FILLER_53_125,VDD,Metal1,79.4665,224.0165,4.999990
FILLER_53_109,VDD,Metal1,69.2600,223.8725,4.999991
FILLER_53_101,VDD,Metal1,66.0265,224.0165,4.999991
FILLER_53_82,VDD,Metal1,55.3865,224.0165,4.999991
FILLER_53_60,VDD,Metal1,40.8800,223.4400,4.999993
FILLER_53_56,VDD,Metal1,39.5800,223.8725,4.999993
FILLER_53_40,VDD,Metal1,34.2080,224.1320,4.999992
FILLER_53_2,VDD,Metal1,9.3400,223.8725,4.999993
FILLER_52_457,VDD,Metal1,262.9200,223.4400,4.999942
FILLER_52_428,VDD,Metal1,246.6800,223.4400,4.999924
FILLER_52_424,VDD,Metal1,245.6600,223.0075,4.999924
FILLER_52_416,VDD,Metal1,242.4265,222.8630,4.999924
FILLER_52_405,VDD,Metal1,233.8000,223.4400,4.999922
FILLER_52_394,VDD,Metal1,227.6400,223.4400,4.999922
FILLER_52_392,VDD,Metal1,226.8000,223.4400,4.999923
FILLER_52_352,VDD,Metal1,204.1200,223.4400,4.999925
FILLER_52_350,VDD,Metal1,203.2800,223.4400,4.999926
FILLER_52_346,VDD,Metal1,201.9800,223.0075,4.999926
FILLER_52_338,VDD,Metal1,198.7465,222.8630,4.999927
FILLER_52_323,VDD,Metal1,187.8800,223.4400,4.999928
FILLER_52_321,VDD,Metal1,187.0400,223.4400,4.999928
FILLER_52_317,VDD,Metal1,185.7400,223.0075,4.999928
FILLER_52_314,VDD,Metal1,182.8400,223.4400,4.999927
